# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = eibb_regression_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/bmfazio/git-repos/tesis-pucpstat/tesis-rsrc/endes_dump.R
# init = 2 (Default)
# random
#   seed = 3906157448
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bx.1,bx.2,bx.3,bx.4,bx.5,bx.6,bx.7,bz.1,bz.2,bz.3,bz.4,bz.5,bz.6,bz.7,rho,sigma
# Adaptation terminated
# Step size = 0.231854
# Diagonal elements of inverse mass matrix:
# 0.000334999, 0.000243471, 0.000384148, 0.000636853, 9.5037e-05, 6.08163e-05, 0.00015092, 0.000109505, 6.97973e-05, 0.000107839, 0.000185078, 3.26917e-05, 2.07949e-05, 4.1005e-05, 0.00455467, 6.93995e-05
-57221.1,0.993904,0.231854,4,31,0,57224.7,-0.818227,0.0844805,-0.048036,-0.0487708,0.0108771,-0.04711,0.167468,0.351398,0.0902712,-0.0643672,-0.0405014,0.0183582,-0.0370648,0.132187,0.0431364,0.527122
-57227.9,0.863138,0.231854,4,15,0,57233,-0.796648,0.0455215,-0.0427214,-0.0202706,0.0216076,-0.0537803,0.162059,0.347496,0.0950905,-0.0481934,-0.0281942,0.0261626,-0.0397631,0.142693,0.0455642,0.526269
-57228.6,0.891068,0.231854,4,15,0,57238.3,-0.83046,0.109656,-0.0954469,-0.0804518,-0.00477223,-0.0342026,0.176221,0.346771,0.0811613,-0.0530253,-0.0423503,0.0213196,-0.0339036,0.130751,0.0425906,0.525605
-57227.2,0.709442,0.231854,4,15,0,57242,-0.833215,0.0962405,-0.101449,-0.0557825,-0.0062204,-0.0404513,0.171021,0.358983,0.0788825,-0.0666478,-0.0396857,0.025473,-0.0351377,0.137532,0.0492659,0.523834
-57221.3,1,0.231854,4,15,0,57229.5,-0.83139,0.0650916,-0.0507123,-0.0419822,-0.00269822,-0.040361,0.175379,0.36225,0.0922104,-0.0482258,-0.055525,0.0223427,-0.0426104,0.128918,0.0458477,0.520154
-57224.1,0.983315,0.231854,4,15,0,57231.4,-0.809675,0.100262,-0.0858359,-0.0644818,0.0216324,-0.0537362,0.162983,0.361158,0.0736287,-0.0483529,-0.0432551,0.0152659,-0.0395162,0.136816,0.0437053,0.525066
-57221.1,0.953031,0.231854,4,15,0,57230.2,-0.79969,0.0694594,-0.0702081,-0.0677549,0.0115697,-0.0474632,0.156062,0.361355,0.0823413,-0.0582269,-0.0459667,0.0260511,-0.0422808,0.133809,0.0428056,0.527081
-57220.8,0.942513,0.231854,5,31,0,57226.5,-0.87584,0.0930406,-0.0415463,0.0450407,0.00428031,-0.0419545,0.19959,0.370208,0.0743981,-0.0523121,-0.0587141,0.0242233,-0.0407914,0.126705,0.0472733,0.520664
-57220.6,0.939168,0.231854,4,15,0,57227.1,-0.834358,0.0803688,-0.0747904,-0.00461447,-0.00489503,-0.0409287,0.199191,0.359019,0.0880736,-0.0544413,-0.0635215,0.0226295,-0.0385696,0.1274,0.0454605,0.524168
-57223.3,0.744429,0.231854,4,15,0,57230.5,-0.861817,0.064045,-0.0571959,0.0153675,-0.00664088,-0.038201,0.196839,0.366749,0.0825258,-0.0606274,-0.0548003,0.0186038,-0.0331586,0.127302,0.0473387,0.517294
-57224.9,0.98424,0.231854,4,31,0,57230.4,-0.856739,0.108303,-0.0432801,-0.0352403,0.0050016,-0.0354499,0.174209,0.34768,0.0848049,-0.0448382,-0.0265025,0.0302504,-0.0425282,0.137543,0.0468298,0.52861
-57221.1,0.960975,0.231854,4,15,0,57230.9,-0.869304,0.0806102,-0.0545009,0.00076614,-0.00669599,-0.0359936,0.195471,0.366281,0.0858799,-0.0532177,-0.0522819,0.0196976,-0.0411408,0.132097,0.0460876,0.521176
